Name_of_player,Country
Zaheer Abbas ,Pakistan
Syed Abid Ali ,India
Jimmy Adams ,West Indies
Jonathan Agnew ,England
Saliya Ahangama ,Sri Lanka
Ijaz Ahmed ,Pakistan
Mushtaq Ahmed ,Pakistan
Shafiq Ahmed ,Pakistan
Shakeel Ahmed ,Pakistan
Tausif Ahmed ,Pakistan
Younis Ahmed ,Pakistan
Mansoor Akhtar ,Pakistan
Wasim Akram ,Pakistan
Intikhab Alam ,Pakistan
Terry Alderman ,Australia
Ashraf Ali ,Pakistan
Basit Ali ,Pakistan
Liaqat Ali ,Pakistan
Paul Allott ,England
Saleem Altaf ,Pakistan
Kaushik Amalean ,Sri Lanka
Mohinder Amarnath ,India
Surinder Amarnath ,India
Curtly Ambrose ,West Indies
Dennis Amiss ,England
Praveen Amre ,India
Robert Anderson ,New Zealand
Jo Angel ,Australia
Naved Anjum ,Pakistan
Salil Ankola ,India
Sangarange Anurasiri ,Sri Lanka
Saeed Anwar ,Pakistan
Taslim Arif ,Pakistan
Geoffrey Arnold ,England
Kevin Arnott ,Zimbabwe
Keith Arthurton ,West Indies
Bharathi Arun ,India
Marvan Atapattu ,Sri Lanka
Michael Atherton ,England
Charles Athey ,England
Richard Austin ,West Indies
Arshad Ayub ,India
Kirtivardhan Azad ,India
Mohammad Azharuddin ,India
Sheik Bacchus ,West Indies
Robert Bailey ,England
David Bairstow ,England
Sikander Bakht ,Pakistan
Subroto Banerjee ,India
Eldine Baptiste ,West Indies
Wasim Bari ,Pakistan
Graham Barlow ,England
Kim Barnett ,England
Graeme Beard ,Australia
Bishen Bedi ,India
Kenneth Benjamin ,West Indies
Winston Benjamin ,West Indies
Murray Bennett ,Australia
Mark Benson ,England
Carlisle Best ,West Indies
Martin Bicknell ,England
Roger Binny ,India
Ian Bishop ,West Indies
Tony Blain ,New Zealand
Richard Blakey ,England
Stephen Boock ,New Zealand
David Boon ,Australia
Allan Border ,Australia
Tertius Bosch ,South Africa
Sir Ian Botham ,England
Keith Boyce ,West Indies
Geoff Boycott ,England
Brendon Bracewell ,New Zealand
John Bracewell ,New Zealand
Grant Bradburn ,New Zealand
David Brain ,Zimbabwe
Eddo Brandes ,Zimbabwe
Mike Brearley ,England
Gavin Briant ,Zimbabwe
Raymond Bright ,Australia
Chris Broad ,England
Vaughan Brown ,New Zealand
Mark Burgess ,New Zealand
Mark Burmester ,Zimbabwe
Alan Butcher ,England
Roland Butcher ,England
Andy Caddick ,England
Lance Cairns ,New Zealand
Chris Cairns ,New Zealand
Ian Callen ,Australia
Alistair Campbell ,Zimbabwe
Gegory Campbell ,Australia
David Capel ,England
Philip Carlson ,Australia
Bhagwat Chandrasekhar ,India
Greg Chappell ,Australia
Ian Chappell ,Australia
Trevor Chappell ,Australia
Ewen Chatfield ,New Zealand
Chetandra Chauhan ,India
Rajesh Chauhan ,India
Wayne Clark ,Australia
Sylvester Clarke ,West Indies
Brian Close ,England
David Colley ,Australia
Richard Collinge ,New Zealand
Jeremy Coney ,New Zealand
Bevan Congdon ,New Zealand
Alan Connolly ,Australia
Geoffrey Cook ,England
Nicholas Cook ,England
Stephen Cook ,South Africa
Geoffrey Cope ,England
Garry Cosier ,Australia
Norman Cowans ,England
Christopher Cowdrey ,England
Sir Colin Cowdrey ,England
Gary Crocker ,Zimbabwe
Colin Croft ,West Indies
Hansie Cronje ,South Africa
Jeffrey Crowe ,New Zealand
Martin Crowe ,New Zealand
Daryll Cullinan ,South Africa
Anderson Cummins ,West Indies
Basil D'Oliveira ,England
Anil Dalpat ,Pakistan
Wayne Daniel ,West Indies
Rick Darling ,Australia
Ian Davis ,Australia
Simon Davis ,Australia
Winston Davis ,West Indies
Guy De Alwis ,Sri Lanka
Phillip De Freitas ,England
Richard De Groen ,New Zealand
Ashantha De Mel ,Sri Lanka
Ashley de Silva ,Sri Lanka
Somachandra De Silva ,Sri Lanka
Asoka De Silva ,Sri Lanka
Ajit de Silva ,Sri Lanka
Aravinda de Silva ,Sri Lanka
Fanie De Villiers ,South Africa
Michael Denness ,England
Kapil Dev ,India
Roy Dias ,Sri Lanka
Graham Dilley ,England
Anthony Dodemaide ,Australia
Allan Donald ,South Africa
Dilip Doshi ,India
Simon Doull ,New Zealand
Paul Downton ,England
Jeff Dujon ,West Indies
Gregory Dyer ,Australia
Geoffrey Dymock ,Australia
John Dyson ,Australia
Bruce Edgar ,New Zealand
Phillippe Edmonds ,England
John Edrich ,England
Graham Edwards ,New Zealand
Ross Edwards ,Australia
Walter Edwards ,Australia
Manzoor Elahi ,Pakistan
Richard Ellison ,England
John Emburey ,England
Farokh Engineer ,India
Neil Fairbrother ,England
Ijaz Faqih ,Pakistan
Zahid Fazal ,Pakistan
Ellukutige Fernando ,Sri Lanka
Keith Fletcher ,England
Andrew Flower ,Zimbabwe
Grant Flower ,Zimbabwe
Maurice Foster ,West Indies
Neil Foster ,England
Graeme Fowler ,England
Trevor Franklin ,New Zealand
Angus Fraser ,England
Roy Fredericks ,West Indies
Bruce French ,England
Anshuman Gaekwad ,India
Joel Garner ,West Indies
Mike Gatting ,England
Sunil Gavaskar ,India
Nadeem Ghauri ,Pakistan
Karsan Ghavri ,India
Lance Gibbs ,West Indies
Norman Gifford ,England
David Gilbert ,Australia
Stuart Gillespie ,New Zealand
Gary Gilmour ,Australia
Larry Gomes ,West Indies
Graham Gooch ,England
Yohan Goonasekera ,Sri Lanka
Hettiarachige Goonatillake ,Sri Lanka
David Gower ,England
Anthony Gray ,West Indies
Evan Gray ,New Zealand
Mark Greatbatch ,New Zealand
Alvin Greenidge ,West Indies
Gordon Greenidge ,West Indies
Tony Greig ,England
Asanka Gurusinha ,Sri Lanka
Dayle Hadlee ,New Zealand
Sir Richard Hadlee ,New Zealand
Azeem Hafeez ,Pakistan
Jeffrey Hammond ,Australia
John Hampshire ,England
Roger Harper ,West Indies
Chris Harris ,New Zealand
Blair Hartland ,New Zealand
Mark Haslam ,New Zealand
Brian Hastings ,New Zealand
Chandika Hathurusingha ,Sri Lanka
Frank Hayes ,England
Desmond Haynes ,West Indies
Ronald Headley ,West Indies
Ian Healy ,Australia
Edward Hemmings ,England
Michael Hendrick ,England
Omar Henry ,South Africa
Graeme Hick ,England
Andrew Hilditch ,Australia
Narendra Hirwani ,India
Thomas Hogan ,Australia
Rodney Hogg ,Australia
Vanburn Holder ,West Indies
Michael Holding ,West Indies
Robert Holland ,Australia
David Hookes ,Australia
Carl Hooper ,West Indies
Philip Horne ,New Zealand
David Houghton ,Zimbabwe
Geoff Howarth ,New Zealand
Hedley Howarth ,New Zealand
Andrew Hudson ,South Africa
Kim Hughes ,Australia
Merv Hughes ,Australia
Alan Hurst ,Australia
Nasser Hussain ,England
Alan Igglesden ,England
Ray Illingworth ,England
Richard Illingworth ,England
Asif Iqbal ,Pakistan
Robin Jackman ,England
Ajay Jadeja ,India
Salim Jaffer ,Pakistan
Jalaluddin ,Pakistan
John Jameson ,England
Malcolm Jarvis ,Zimbabwe
Paul Jarvis ,England
Aaqib Javed ,Pakistan
Rohan Jayasekera ,Sri Lanka
Sanath Jayasuriya ,Sri Lanka
Sridharan Jeganathan ,Sri Lanka
Terrence Jenner ,Australia
Vinothen John ,Sri Lanka
Andrew Jones ,New Zealand
Dean Jones ,Australia
Bernard Julien ,West Indies
Brendon Julian ,Australia
Alvin Kallicharran ,West Indies
Lalith Kaluperuma ,Sri Lanka
Sanath Kaluperuma ,Sri Lanka
Romesh Kaluwitharana ,Sri Lanka
Mohsin Kamal ,Pakistan
Vinod Kambli ,India
Rohan Kanhai ,West Indies
Martin Kent ,Australia
Robert Kerr ,Australia
Imran Khan ,Pakistan
Majid Khan ,Pakistan
Mohsin Khan ,Pakistan
Moin Khan ,Pakistan
Nadeem Khan ,Pakistan
Rashid Khan ,Pakistan
Zakir Khan ,Pakistan
Collis King ,West Indies
Syed Kirmani ,India
Gary Kirsten ,South Africa
Peter Kirsten ,South Africa
Alan Knott ,England
Pallemoni Krishnamurthy ,India
Christopher Kuggeleijn ,New Zealand
Adrian Kuiper ,South Africa
Rajiv Kulkarni ,India
Anil Kumble ,India
Brendon Kuruppu ,Sri Lanka
Graeme Labrooy ,Sri Lanka
Bruce Laird ,Australia
Arun Lal ,India
Allan Lamb ,England
Raman Lamba ,India
Clayton Lambert ,United States
Justin Langer ,Australia
Brian Lara ,West Indies
Wayne Larkins ,England
Rodney Latham ,New Zealand
Rashid Latif ,Pakistan
Trevor Laughlin ,Australia
David Lawrence ,England
Bill Lawry ,Australia
Geoff Lawson ,Australia
Warren Lees ,New Zealand
John Lever ,England
Peter Lever ,England
Chris Lewis ,England
Dennis Lillee ,Australia
Dulip Liyanage ,Sri Lanka
Clive Lloyd ,West Indies
David Lloyd ,England
Timothy Lloyd ,England
Gus Logie ,West Indies
Brian Luckhurst ,England
John Maclean ,Australia
Sharma Madan Lal ,India
Ranjan Madugalle ,Sri Lanka
Ranjith Madurasinghe ,Sri Lanka
John Maguire ,Australia
Roshan Mahanama ,Sri Lanka
Shahid Mahboob ,Pakistan
Devon Malcolm ,England
Ashok Malhotra ,India
Aamer Malik ,Pakistan
Saleem Malik ,Pakistan
Ashley Mallett ,Australia
Michael Malone ,Australia
Sanjay Manjrekar ,India
Ashok Mankad ,India
Victor Marks ,England
Geoff Marsh ,Australia
Rod Marsh ,Australia
Malcolm Marshall ,West Indies
Damien Martyn ,Australia
Asif Masood ,Pakistan
Robert Massie ,Australia
Craig Matthews ,South Africa
Greg Matthews ,Australia
Everton Mattis ,West Indies
Tim May ,Australia
Matthew Maynard ,England
Richard McCosker ,Australia
Craig McDermott ,Australia
Paul McEwan ,New Zealand
Glenn McGrath ,Australia
Graham McKenzie ,Australia
Brian McMillan ,South Africa
Duleep Mendis ,Sri Lanka
Javed Miandad ,Pakistan
Geoff Miller ,England
Mushtaq Mohammad ,Pakistan
Sadiq Mohammad ,Pakistan
Shoaib Mohammad ,Pakistan
Tom Moody ,Australia
Kiran More ,India
John Morris ,England
Danny Morrison ,New Zealand
John Morrison ,New Zealand
Ezra Moseley ,West Indies
Jeffrey Moss ,Australia
Martyn Moxon ,England
Asif Mujtaba ,Pakistan
Muttiah Muralitharan ,Sri Lanka
David Murray ,West Indies
Deryck Murray ,West Indies
Junior Murray ,West Indies
Sudhir Naik ,India
Tahir Naqqash ,Pakistan
Dion Nash ,New Zealand
Sarfraz Nawaz ,Pakistan
Surendra Nayak ,India
Mudassar Nazar ,Pakistan
Aamir Nazir ,Pakistan
Mohammed Nazir ,Pakistan
Simon O'Donnell ,Australia
Kerry O'Keeffe ,Australia
David O'Sullivan ,New Zealand
Chris Old ,England
Qasim Omar ,Pakistan
Michael Owens ,New Zealand
Chandrakant Pandit ,India
Ghulam Parkar ,India
John Parker ,New Zealand
Norman Parker ,New Zealand
Adam Parore ,New Zealand
Derek Parry ,West Indies
Leonard Pascoe ,Australia
Brijesh Patel ,India
Dipak Patel ,New Zealand
Rashid Patel ,India
Sandeep Patil ,India
Balfour Patterson ,West Indies
Thelston Payne ,West Indies
Norbert Phillip ,West Indies
Wayne Phillips ,Australia
Patrick Pocock ,England
Victor Pollard ,New Zealand
Manoj Prabhakar ,India
Mark Priest ,New Zealand
Chris Pringle ,New Zealand
Derek Pringle ,England
Meyrick Pringle ,South Africa
Andrew Pycroft ,Zimbabwe
Abdul Qadir ,Pakistan
Iqbal Qasim ,Pakistan
Carl Rackemann ,Australia
Neal Radford ,England
Clive Radley ,England
Ramiz Raja ,Pakistan
Wasim Raja ,Pakistan
Lalchand Rajput ,India
Venkatapathy Raju ,India
Woorkeri Raman ,India
Champaka Ramanayake ,Sri Lanka
Mark Ramprakash ,England
Azmat Rana ,Pakistan
Anura Ranasinghe ,Sri Lanka
Arjuna Ranatunga ,Sri Lanka
Dammika Ranatunga ,Sri Lanka
Ujesh Ranchod ,Zimbabwe
Derek Randall ,England
Haroon Rashid ,Pakistan
Rumesh Ratnayake ,Sri Lanka
Ravi Ratnayeke ,Sri Lanka
Akram Raza ,Pakistan
Vivek Razdan ,India
Bharat Reddy ,India
Rodney Redmond ,New Zealand
Ian Redpath ,Australia
Dermot Reeve ,England
Bruce Reid ,Australia
John Reid ,New Zealand
Paul Reiffel ,Australia
Jonty Rhodes ,South Africa
Clifton Richards ,England
Sir Viv Richards ,West Indies
David Richardson ,South Africa
Richie Richardson ,West Indies
Greg Ritchie ,Australia
Steve Rixon ,Australia
Andy Roberts ,West Indies
Andrew Roberts ,New Zealand
Gary Robertson ,New Zealand
Richard Robinson ,Australia
Tim Robinson ,England
Graham Roope ,England
Brian Rose ,England
Lawrence Rowe ,West Indies
Mark Rushmere ,South Africa
Jack Russell ,England
Ken Rutherford ,New Zealand
Shahid Saeed ,Pakistan
Ian Salisbury ,England
Athula Samarasekera ,Sri Lanka
Balwinder Sandhu ,India
Brett Schultz ,South Africa
Thirumalai Sekar ,India
Charith Senanayake ,Sri Lanka
Craig Serjeant ,Australia
Ali Omarshah ,Zimbabwe
Ajay Sharma ,India
Chetan Sharma ,India
Gopal Sharma ,India
Parthasarathy Sharma ,India
Sanjeev Sharma ,India
Yashpal Sharma ,India
Ravishankar Shastri ,India
Andrew Sheahan ,Australia
Irvine Shillingford ,West Indies
Sew Shivnarine ,West Indies
Kenneth Shuttleworth ,England
Navjot Sidhu ,India
Amal Silva ,Sri Lanka
Philip Simmons ,West Indies
Bob Simpson ,Australia
Gursharan Singh ,India
Maninder Singh ,India
Yograj Singh ,India
Laxman Sivaramakrishnan ,India
Wilfred Slack ,England
Michael Slater ,Australia
Gladstone Small ,England
Milton Small ,West Indies
Christopher Smith ,England
David Smith ,England
Ian Smith ,New Zealand
Robin Smith ,England
Stephen Smith ,Australia
Martin Snedden ,New Zealand
Richard Snell ,South Africa
John Snow ,England
Sir Garry Sobers ,West Indies
Aamir Sohail ,Pakistan
Eknath Solkar ,India
Kris Srikkanth ,India
Javagal Srinath ,India
Tirumalai Srinivasan ,India
Keith Stackpole ,Australia
David Steele ,England
Graham Stevenson ,England
Alec Stewart ,England
Derek Stirling ,New Zealand
Murphy Su'A ,New Zealand
Pat Symcox ,South Africa
Chris Tavare ,England
Bruce Taylor ,New Zealand
Jonathan Taylor ,England
Leslie Taylor ,England
Mark Taylor ,Australia
Peter Taylor ,Australia
Robert Taylor ,England
Sachin Tendulkar ,India
John Thomas ,England
Froggy Thomson ,Australia
Jeff Thomson ,Australia
Shane Thomson ,New Zealand
Graham Thorpe ,England
Hashan Tillakaratne ,Sri Lanka
Fred Titmus ,England
Roger Tolchard ,England
Peter Toohey ,Australia
Athanasios Traicos ,Zimbabwe
Gary Troup ,New Zealand
Phil Tufnell ,England
Alan Turner ,Australia
Glenn Turner ,New Zealand
Nasim-Ul-Ghani ,Pakistan
Inzamam-ul-Haq ,Pakistan
Derek Underwood ,England
Ata-Ur-Rehman ,Pakistan
Rizwan-Uz-Zaman ,Pakistan
Robert Vance ,New Zealand
Justin Vaughan ,New Zealand
Michael Veletta ,Australia
Dillip Vengsarkar ,India
Srinivas Venkataraghavan ,India
Margasaghayam Venkataramana ,India
Gundappa Viswanath ,India
Sandanand Viswanath ,India
Graham Vivian ,New Zealand
Ajit Wadekar ,India
Kenneth Wadsworth ,New Zealand
Max Walker ,Australia
Courtney Walsh ,West Indies
Doug Walters ,Australia
Bandula Warnapura ,Sri Lanka
Khahakachchi Warnaweera ,Sri Lanka
Shane Warne ,Australia
Atul Wassan ,India
Steven Watkin ,England
Graeme Watson ,Australia
Willie Watson ,New Zealand
Mark Waugh ,Australia
Steve Waugh ,Australia
Peter Webb ,New Zealand
Dirk Wellham ,Australia
Kepler Wessels ,South Africa
Mithra Wettimuny ,Sri Lanka
Sidath Wettimuny ,Sri Lanka
Davenell Whatmore ,Australia
John Whitaker ,England
David White ,New Zealand
Michael Whitney ,Australia
Pramodya Wickremasinghe ,Sri Lanka
Gamini Wickremasinghe ,Sri Lanka
Julien Wiener ,Australia
Kapila Wijegunawardene ,Sri Lanka
Roger Wijesuriya ,Sri Lanka
Peter Willey ,England
David Williams ,West Indies
Bob Willis ,England
Barry Wood ,England
Graeme Wood ,Australia
Ashley Woodcock ,Australia
Roger Woolley ,Australia
Robert Woolmer ,England
John Wright ,New Zealand
Kevin Wright ,Australia
Nandlal Yadav ,India
Vijay Yadav ,India
Graham Yallop ,Australia
