Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Zaheer Abbas (Pakistan)
            - ODI Cricket",,,,,88,136,23,10,91,148,137,229,677,494,341,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Syed Abid Ali (India)
            - ODI Cricket",,,,,23,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jimmy Adams (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,17,258,214,203,213,133,,638,352,176,,,,,,,,,,,,,,,,,,
"Jonathan Agnew (England)
            - ODI Cricket",,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saliya Ahangama (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ijaz Ahmed (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,67,322,448,309,448,83,73,,476,165,1281,1104,799,587,402,,,,,,,,,,,,,,,,,,,
"Mushtaq Ahmed (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,12,70,16,82,20,3,60,37,32,11,0,56,,,0,,,,,,,,,,,,,,,,
"Shafiq Ahmed (Pakistan)
            - ODI Cricket",,,,,,,,38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shakeel Ahmed (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,
"Tausif Ahmed (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,0,,42,3,6,4,10,39,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Younis Ahmed (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mansoor Akhtar (Pakistan)
            - ODI Cricket",,,,,,,,,,,24,14,170,9,181,,,132,,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wasim Akram (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,0,11,68,200,70,145,282,66,274,287,150,193,338,146,278,360,388,103,287,71,,,,,,,,,,,,,,,,
