Name_of_player,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Zaheer Abbas ,Pakistan,,,,,88.0,136.0,23.0,10.0,91.0,148.0,137.0,229.0,677.0,494.0,341.0,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syed Abid Ali ,India,,,,,23.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Adams ,West Indies,,,,,,,,,,,,,,,,,,,,,,,17.0,258.0,214.0,203.0,213.0,133.0,,638.0,352.0,176.0,,,,,,,,,,,,,,,,,,
Jonathan Agnew ,England,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saliya Ahangama ,Sri Lanka,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ijaz Ahmed ,Pakistan,,,,,,,,,,,,,,,,,67.0,322.0,448.0,309.0,448.0,83.0,73.0,,476.0,165.0,1281.0,1104.0,799.0,587.0,402.0,,,,,,,,,,,,,,,,,,,
Mushtaq Ahmed ,Pakistan,,,,,,,,,,,,,,,,,,,,12.0,70.0,16.0,82.0,20.0,3.0,60.0,37.0,32.0,11.0,0.0,56.0,,,0.0,,,,,,,,,,,,,,,,
Shafiq Ahmed ,Pakistan,,,,,,,,38.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shakeel Ahmed ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,
Tausif Ahmed ,Pakistan,,,,,,,,,,,,,0.0,,42.0,3.0,6.0,4.0,10.0,39.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Younis Ahmed ,Pakistan,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansoor Akhtar ,Pakistan,,,,,,,,,,,24.0,14.0,170.0,9.0,181.0,,,132.0,,31.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasim Akram ,Pakistan,,,,,,,,,,,,,,,0.0,11.0,68.0,200.0,70.0,145.0,282.0,66.0,274.0,287.0,150.0,193.0,338.0,146.0,278.0,360.0,388.0,103.0,287.0,71.0,,,,,,,,,,,,,,,,
Intikhab Alam ,Pakistan,,,,10.0,0.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry Alderman ,Australia,,,,,,,,,,,,10.0,2.0,,7.0,8.0,,,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashraf Ali ,Pakistan,,,,,,,,,,,0.0,30.0,3.0,,17.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basit Ali ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,471.0,580.0,174.0,40.0,,,,,,,,,,,,,,,,,,,,,,,
Liaqat Ali ,Pakistan,,,,,,,,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Allott ,England,,,,,,,,,,,,,5.0,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saleem Altaf ,Pakistan,,,,21.0,,,,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaushik Amalean ,Sri Lanka,,,,,,,,,,,,,,,,,9.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohinder Amarnath ,India,,,,,,1.0,29.0,,85.0,16.0,,,71.0,468.0,6.0,64.0,309.0,33.0,584.0,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surinder Amarnath ,India,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtly Ambrose ,West Indies,,,,,,,,,,,,,,,,,,,42.0,82.0,1.0,103.0,94.0,39.0,10.0,21.0,64.0,67.0,17.0,84.0,15.0,,,,,,,,,,,,,,,,,,,
Dennis Amiss ,England,,,168.0,134.0,20.0,293.0,93.0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praveen Amre ,India,,,,,,,,,,,,,,,,,,,,,,130.0,244.0,120.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Anderson ,New Zealand,,,,,,,4.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jo Angel ,Australia,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Naved Anjum ,Pakistan,,,,,,,,,,,,,,,61.0,,,,27.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salil Ankola ,India,,,,,,,,,,,,,,,,,,,,7.0,,,,7.0,0.0,,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,
Sangarange Anurasiri ,Sri Lanka,,,,,,,,,,,,,,,,,11.0,0.0,11.0,5.0,14.0,,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Saeed Anwar ,Pakistan,,,,,,,,,,,,,,,,,,,,100.0,673.0,1.0,6.0,724.0,846.0,190.0,1595.0,886.0,831.0,912.0,874.0,711.0,257.0,218.0,,,,,,,,,,,,,,,,
Taslim Arif ,Pakistan,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoffrey Arnold ,England,,,11.0,17.0,2.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Arnott ,Zimbabwe,,,,,,,,,,,,,,,,,,112.0,,,,,94.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Arthurton ,West Indies,,,,,,,,,,,,,,,,,,,27.0,203.0,0.0,170.0,297.0,461.0,318.0,174.0,2.0,,119.0,133.0,,,,,,,,,,,,,,,,,,,,
Bharathi Arun ,India,,,,,,,,,,,,,,,,,8.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvan Atapattu ,Sri Lanka,,,,,,,,,,,,,,,,,,,,,8.0,,35.0,,,,84.0,879.0,744.0,787.0,942.0,1084.0,1192.0,812.0,729.0,498.0,592.0,143.0,,,,,,,,,,,,
Michael Atherton ,England,,,,,,,,,,,,,,,,,,,,,99.0,236.0,,,466.0,267.0,404.0,255.0,64.0,,,,,,,,,,,,,,,,,,,,,
Charles Athey ,England,,,,,,,,,,,83.0,,,,,,142.0,619.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
