,Name_of_player,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Zaheer Abbas ,Pakistan,,,,,88.0,224.0,247.0,257.0,348.0,496.0,633.0,862.0,1539.0,2033.0,2374.0,2572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Syed Abid Ali ,India,,,,,23.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jimmy Adams ,West Indies,,,,,,,,,,,,,,,,,,,,,,,17.0,275.0,489.0,692.0,905.0,1038.0,,1676.0,2028.0,2204.0,,,,,,,,,,,,,,,,,,
3,Jonathan Agnew ,England,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Saliya Ahangama ,Sri Lanka,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ijaz Ahmed ,Pakistan,,,,,,,,,,,,,,,,,67.0,389.0,837.0,1146.0,1594.0,1677.0,1750.0,,2226.0,2391.0,3672.0,4776.0,5575.0,6162.0,6564.0,,,,,,,,,,,,,,,,,,,
6,Mushtaq Ahmed ,Pakistan,,,,,,,,,,,,,,,,,,,,12.0,82.0,98.0,180.0,200.0,203.0,263.0,300.0,332.0,343.0,343.0,399.0,,,399.0,,,,,,,,,,,,,,,,
7,Shafiq Ahmed ,Pakistan,,,,,,,,38.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Shakeel Ahmed ,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,
9,Tausif Ahmed ,Pakistan,,,,,,,,,,,,,0.0,,42.0,45.0,51.0,55.0,65.0,104.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Younis Ahmed ,Pakistan,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Mansoor Akhtar ,Pakistan,,,,,,,,,,,24.0,38.0,208.0,217.0,398.0,,,530.0,,561.0,593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Wasim Akram ,Pakistan,,,,,,,,,,,,,,,0.0,11.0,79.0,279.0,349.0,494.0,776.0,842.0,1116.0,1403.0,1553.0,1746.0,2084.0,2230.0,2508.0,2868.0,3256.0,3359.0,3646.0,3717.0,,,,,,,,,,,,,,,,
13,Intikhab Alam ,Pakistan,,,,10.0,10.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Terry Alderman ,Australia,,,,,,,,,,,,10.0,12.0,,19.0,27.0,,,27.0,27.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ashraf Ali ,Pakistan,,,,,,,,,,,0.0,30.0,33.0,,50.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
